offset correction summands:
    'in_4_1_11_0 offset correction summand:-15623'

    'in_4_1_12_0 offset correction summand:6009'

    'in_4_1_13_0 offset correction summand:28843'

    'in_4_1_14_0 offset correction summand:-19229'

    'in_4_1_15_0 offset correction summand:-22888'

    'in_4_2_11_0 offset correction summand:-6610'

    'in_4_2_12_0 offset correction summand:-601'

    'in_4_2_13_0 offset correction summand:5408'

    'in_4_2_14_0 offset correction summand:1803'

    'in_4_2_15_0 offset correction summand:-34790'

    'in_5_1_11_0 offset correction summand:-23134'

    'in_5_1_12_0 offset correction summand:20130'

    'in_5_1_13_0 offset correction summand:22534'

    'in_5_1_14_0 offset correction summand:-19530'

    'in_5_1_15_0 offset correction summand:-24719'

    'in_5_2_11_0 offset correction summand:21332'

    'in_5_2_12_0 offset correction summand:12919'

    'in_5_2_13_0 offset correction summand:-44767'

    'in_5_2_14_0 offset correction summand:10516'

    'in_5_2_15_0 offset correction summand:-7324'

    'in_6_1_11_0 offset correction summand:-7812'

    'in_6_1_12_0 offset correction summand:5408'

    'in_6_1_13_0 offset correction summand:-4207'

    'in_6_1_14_0 offset correction summand:6610'

    'in_6_1_15_0 offset correction summand:916'

    'in_6_2_11_0 offset correction summand:1802'

    'in_6_2_12_0 offset correction summand:5408'

    'in_6_2_13_0 offset correction summand:-1803'

    'in_6_2_14_0 offset correction summand:-5408'

    'in_6_2_15_0 offset correction summand:3663'

    'in_7_1_11_0 offset correction summand:-5108'

    'in_7_1_12_0 offset correction summand:-3906'

    'in_7_1_13_0 offset correction summand:16525'

    'in_7_1_14_0 offset correction summand:-7512'

    'in_7_1_15_0 offset correction summand:-32044'

    'in_7_2_11_0 offset correction summand:-8713'

    'in_7_2_12_0 offset correction summand:9314'

    'in_7_2_13_0 offset correction summand:33349'

    'in_7_2_14_0 offset correction summand:-33951'

    'in_7_2_15_0 offset correction summand:-18310'

